#4:1;:07;;
#4:1;:07;;
#8:0;:e8;;
#8:0;:e8;;
#5:1;:6c;;
#5:1;:6c;;
#9:0;:83;;
#9:0;:83;;
#4:1;:07;;
@9:-3;Not Support CMD
@5:1;0.23
@5:1;0.20
@5:1;0.19
@5:1;0.18
@5:1;0.26
#1:0.35;:95;;
@5:1;0.15
@1:0;OK
#2:-3.00;:71;;
@2:0;OK
@5:1;0.27
@5:1;0.12
@5:1;0.26
@5:1;0.17
@5:1;0.21
@5:1;0.24
@5:1;0.17
@5:1;0.21
@5:1;0.20#2:-3.00;:71;;

@2:0;OK
@5:1;0.21
@5:1;0.15
@5:1;0.22
@5:1;0.13
@5:1;0.29
@5:1;0.08
@5:1;0.28
@5:1;0.17
@5:1;0.25
#1:0.35;:95;;
@1:0;OK
#2:-3.00;:71;;
@2:0;OK
@5:1;0.16
@5:1;0.21
@5:1;0.21
@5:1;0.19
@5:1;0.18
@5:1;0.18
@5:1;0.24
@5:1;0.14
@5:1;0.24
#2:-3.00;:71;;
@2:0;OK
@5:1;0.15
@5:1;0.22
@5:1;0.18
@5:1;0.21
@5:1;0.19
@5:1;0.26
@5:1;0.06
@5:1;0.31
@5:1;0.19
#1:0.35;:95;;
@1:0;OK
@5:1;0.19
#2:-3.00;:71;;
@2:0;OK
@5:1;0.22
@5:1;0.15
@5:1;0.21
@5:1;0.22
@5:1;0.20
@5:1;0.21
@5:1;0.22
@5:1;0.20
@5:1;0.17
#2:-3.00;:71;;
@2:0;OK
@5:1;0.24
@5:1;0.23
@5:1;0.16
@5:1;0.21
@5:1;0.14
@5:1;0.28
@5:1;0.10
@5:1;0.30
@5:1;0.13
#1:0.35;:95;;
@5:1;0.28
@1:0;OK#2:-2.00;:13;;

@2:0;OK
@5:1;0.16
@5:1;0.18
@5:1;0.19
@5:1;0.28
@5:1;0.14
@5:1;0.22
@5:1;0.21
@5:1;0.20
@5:1;0.22
#2:-2.00;:13;;
@2:0;OK
@5:1;0.18
@5:1;0.20
@5:1;0.24
@5:1;0.21
@5:1;0.09
@5:1;0.29
@5:1;0.17
@5:1;0.13
@5:1;0.21
#1:0.35;:95;;
@1:0;OK
@5#2:-4.00;:58;;
:1;0.21
@2:0;OK
@5:1;0.24
@5:1;0.20
@5:1;0.17
@5:1;0.24
@5:1;0.13
@5:1;0.27
@5:1;0.11
@5:1;0.26
#2:-4.00;:58;;
@5:1;0.13
@2:0;OK
@5:1;0.22
@5:1;0.16
@5:1;0.23
@5:1;0.16
@5:1;0.22
@5:1;0.19
@5:1;0.23
@5:1;0.15
@5:1;0.25
#1:0.35;:95;;
@1:0;OK
#2:-4.00;:58;;
@2:0;OK
@5:1;0.12
@5:1;0.30
@5:1;0.15
@5:1;0.21
@5:1;0.26
@5:1;0.14
@5:1;0.29
@5:1;0.16
@5:1;0.25
#2:-4.00;:58;;
@2:0;OK
@5:1;0.11
@5:1;0.22
@5:1;0.18
@5:1;0.25
@5:1;0.17
@5:1;0.24
@5:1;0.20
@5:1;0.18
@5:1;0.22
#1:0.35;:95;;
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.18
@5:1;0.23
@5:1;0.15
@5:1;0.24
@5:1;0.18
@5:1;0.22
@5:1;0.13
@5:1;0.31
@5:1;0.13
@5:1;#2:-5.00;:3a;;
0.29
@2:0;OK
@5:1;0.15
@5:1;0.20
@5:1;0.25
@5:1;0.18
@5:1;0.25
@5:1;0.19
@5:1;0.23
@5:1;0.12
#1:0.35;:95;;
@5:1;0.24
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.16
@5:1;0.20
@5:1;0.21
@5:1;0.20
@5:1;0.23
@5:1;0.25
@5:1;0.17
@5:1;0.18
@#2:-5.00;:3a;;
5:1;0.19
@2:0;OK
@5:1;0.18
@5:1;0.21
@5:1;0.18
@5:1;0.20
@5:1;0.21
@5:1;0.17
@5:1;0.26
@5:1;0.17
#1:0.35;:95;;
@5:1;0.20
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.18
@5:1;0.29
@5:1;0.11
@5:1;0.21
@5:1;0.21
@5:1;0.23
@5:1;0.22
@5:1;0.18
@5:1;0.18
#2:-5.00;:3a;;
@5:1;0.25
@2:0;OK
@5:1;0.08
@5:1;0.26
@5:1;0.10
@5:1;0.24
@5:1;0.09
@5:1;0.26
@5:1;0.17
@5:1;0.22
#1:0.35;:95;;
@5:1;0.19
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.21
@5:1;0.22
@5:1;0.22
@5:1;0.16
@5:1;0.24
@5:1;0.19
@5:1;0.19
@5:1;0.23
@5:1;0.16
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.28
@5:1;0.14
@5:1;0.23
@5:1;0.18
@5:1;0.23
@5:1;0.18
@5:1;0.21
@5:1;0.27
@5:1;0.17
#1:0.35;:95;;
@1:0;OK
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.21
@5:1;0.18
@5:1;0.25
@5:1;0.19
@5:1;0.21
@5:1;0.19
@5:1;0.25
@5:1;0.16
@5:1;0.22
#2:-6.00;:9c;;
@5:1;0.21
@2:0;OK
@5:1;0.23
@5:1;0.15
@5:1;0.24
@5:1;0.21
@5:1;0.19
@5:1;0.24
@5:1;0.14
@5:1;0.32
@5:1;0.15
#1:0.35;:95;;
@1:0;OK
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.24
@5:1;0.21
@5:1;0.19
@5:1;0.22
@5:1;0.14
@5:1;0.28
@5:1;0.18
@5:1;0.17
@5:1;0.26
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.18
@5:1;0.18
@5:1;0.20
@5:1;0.23
@5:1;0.20
@5:1;0.20
@5:1;0.15
@5:1;0.33
@5:1;0.20
#1:0.35;:95;;
@1:0;OK
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.18
@5:1;0.26
@5:1;0.19
@5:1;0.23
@5:1;0.14
@5:1;0.29
@5:1;0.16
@5:1;0.21
@5:1;0.26
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.17
@5:1;0.25
@5:1;0.15
@5:1;0.30
@5:1;0.18
@5:1;0.19
@5:1;0.26
@5:1;0.16
@5:1;0.28
#1:0.35;:95;;
@1:0;OK#2:-8.00;:ce;;

@5:1;0.20
@2:0;OK
@5:1;0.18
@5:1;0.22
@5:1;0.22
@5:1;0.23
@5:1;0.20
@5:1;0.22
@5:1;0.16
@5:1;0.28
#2:-8.00;:ce;;
@5:1;0.13
@2:0;OK
@5:1;0.23
@5:1;0.18
@5:1;0.27
@5:1;0.18
@5:1;0.22
@5:1;0.27
@5:1;0.13
@5:1;0.30
@5:1;0.18
#1:0.35;:95;;
@1:0;OK
#2:-11.00;:95;;
@2:0;OK
@5:1;0.26
@5:1;0.17
@5:1;0.23
@5:1;0.26
@5:1;0.15
@5:1;0.22
@5:1;0.20
@5:1;0.24
@5:1;0.17
#2:-11.00;:95;;
@2:0;OK
@5:1;0.18
@5:1;0.20
@5:1;0.22
@5:1;0.16
@5:1;0.19
@5:1;0.30
@5:1;0.11
@5:1;0.30
@5:1;0.11
#1:0.35;:95;;
@5:1;0.30
@1:0;OK
#2:-11.00;:95;;
@2:0;OK
@5:1;0.14
@5:1;0.22
@5:1;0.23
@5:1;0.21
@5:1;0.21
@5:1;0.22
@5:1;0.24
@5:1;0.17
@5:1;0.25
#2:-11.00;:95;;
@2:0;OK
@5:1;0.14
@5:1;0.33
@5:1;0.15
@5:1;0.22
@5:1;0.23
@5:1;0.16
@5:1;0.25
@5:1;0.16
@5:1;0.32
#1:0.35;:95;;
@1:0;OK
#2:-11.00;:95;;
@5:1;0.15
@2:0;OK
@5:1;0.22
@5:1;0.23
@5:1;0.19
@5:1;0.23
@5:1;0.14
@5:1;0.29
@5:1;0.20
@5:1;0.21
#2:-11.00;:95;;
@2:0;OK
@5:1;0.26
@5:1;0.14
@5:1;0.25
@5:1;0.18
@5:1;0.22
@5:1;0.15
@5:1;0.25
@5:1;0.21
@5:1;0.28
#1:0.35;:95;;
@1:0;OK
@5:1;0.23#2:-11.00;:95;;

@2:0;OK
@5:1;0.18
@5:1;0.22
@5:1;0.18
@5:1;0.22
@5:1;0.20
@5:1;0.26
@5:1;0.17
@5:1;0.22
@5:1;0.25
#2:-11.00;:95;;
@2:0;OK
@5:1;0.14
@5:1;0.21
@5:1;0.19
@5:1;0.27
@5:1;0.18
@5:1;0.21
@5:1;0.24
@5:1;0.13
#1:0.35;:95;;
@5:1;0.28
@1:0;OK
#2:-11.00;:95;;
@2:0;OK
@5:1;0.20
@5:1;0.17
@5:1;0.24
@5:1;0.17
@5:1;0.21
@5:1;0.23
@5:1;0.20
@5:1;0.17
@5:1;0.26
#2:-11.00;:95;;
@2:0;OK
@5:1;0.15
@5:1;0.25
@5:1;0.12
@5:1;0.29
@5:1;0.16
@5:1;0.23
@5:1;0.26
@5:1;0.16
@5:1;0.26
#1:0.35;:95;;
@1:0;OK
#2:-10.00;:f7;;
@5:1;0.18
@2:0;OK
@5:1;0.21
@5:1;0.19
@5:1;0.18
@5:1;0.21
@5:1;0.21
@5:1;0.17
@5:1;0.21
@5:1;0.26
#2:-10.00;:f7;;
@5:1;0.20
@2:0;OK
@5:1;0.21
@5:1;0.21
@5:1;0.20
@5:1;0.21
@5:1;0.17
@5:1;0.29
@5:1;0.12
@5:1;0.24
#1:0.35;:95;;
@1:0;OK
@5:1;0.19
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.22
@5:1;0.18
@5:1;0.19
@5:1;0.20
@5:1;0.26
@5:1;0.12
@5:1;0.27
@5:1;0.20
@5:1;0.21
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.23
@5:1;0.16
@5:1;0.29
@5:1;0.14
@5:1;0.22
@5:1;0.19
@5:1;0.22
@5:1;0.27
#1:0.35;:95;;
@5:1;0.15
@1:0;OK
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.26
@5:1;0.17
@5:1;0.24
@5:1;0.23
@5:1;0.20
@5:1;0.21
@5:1;0.19
@5:1;0.25
@5:1;0.17
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.22
@5:1;0.22
@5:1;0.20
@5:1;0.21
@5:1;0.21
@5:1;0.20
@5:1;0.18
@5:1;0.25
@5:1;0.13
#1:0.35;:95;;
@1:0;OK
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.34
@5:1;0.13
@5:1;0.19
@5:1;0.20
@5:1;0.23
@5:1;0.21
@5:1;0.19
@5:1;0.28
@5:1;0.21
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.19
@5:1;0.24
@5:1;0.16
@5:1;0.27
@5:1;0.18
@5:1;0.24
@5:1;0.15
@5:1;0.27
@5:1;0.23
#1:0.35;:95;;
@1:0;OK
@5#2:-10.00;:f7;;
:1;0.27
@2:0;OK
@5:1;0.19
@5:1;0.22
@5:1;0.23
@5:1;0.16
@5:1;0.23
@5:1;0.15
@5:1;0.29
@5:1;0.16
@5#2:-10.00;:f7;;
:1;0.21
@2:0;OK
@5:1;0.26
@5:1;0.15
@5:1;0.25
@5:1;0.14
@5:1;0.28
@5:1;0.12
@5:1;0.20
@5:1;0.23
#1:0.35;:95;;
@1:0;OK
@5:1;0#2:-11.00;:95;;
.19
@2:0;OK
@5:1;0.22
@5:1;0.18
@5:1;0.26
@5:1;0.18
@5:1;0.25
@5:1;0.19
@5:1;0.23
@5:1;0.19
@5:1;0.20
#2:-11.00;:95;;
@2:0;OK
@5:1;0.22
@5:1;0.17
@5:1;0.28
@5:1;0.20
@5:1;0.25
@5:1;0.18
@5:1;0.22
@5:1;0.26
@5:1;0.16
#1:0.35;:95;;
@1:0;OK
@5:1;0.25
#2:-12.00;:33;;
@2:0;OK
@5:1;0.17
@5:1;0.16
@5:1;0.18
@5:1;0.18
@5:1;0.25
@5:1;0.25
@5:1;0.16
@5:1;0.26
@5:#2:-12.00;:33;;
1;0.19
@2:0;OK
@5:1;0.23
@5:1;0.12
@5:1;0.30
@5:1;0.14
@5:1;0.22
@5:1;0.21
@5:1;0.20
@5:1;0.24
#1:0.35;:95;;
@1:0;OK
@5:1;0.17
#2:-12.00;:33;;
@2:0;OK
@5:1;0.23
@5:1;0.18
@5:1;0.22
@5:1;0.23
@5:1;0.18
@5:1;0.16
@5:1;0.25
@5:1;0.21
@5:1;#2:-12.00;:33;;
0.22
@2:0;OK
@5:1;0.19
@5:1;0.20
@5:1;0.27
@5:1;0.15
@5:1;0.28
@5:1;0.21
@5:1;0.17
@5:1;0.27
#1:0.35;:95;;
@5:1;0.18
@1:0;OK
#2:-12.00;:33;;
@2:0;OK
@5:1;0.27
@5:1;0.15
@5:1;0.24
@5:1;0.23
@5:1;0.17
@5:1;0.26
@5:1;0.18
@5:1;0.23
@5:1;0.18
#2:-12.00;:33;;
@2:0;OK
@5:1;0.22
@5:1;0.24
@5:1;0.14
@5:1;0.30
@5:1;0.19
@5:1;0.22
@5:1;0.17
@5:1;0.25
@5:1;0.18
#1:0.35;:95;;
@1:0;OK
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.30
@5:1;0.15
@5:1;0.19
@5:1;0.24
@5:1;0.18
@5:1;0.22
@5:1;0.21
@5:1;0.22
@5:1;0.18
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.20
@5:1;0.24
@5:1;0.15
@5:1;0.23
@5:1;0.17
@5:1;0.25
@5:1;0.17
@5:1;0.22
@5:1;0.22
#1:0.35;:95;;
@1:0;OK
#2:-9.00;:ac;;
@5:1;0.21
@2:0;OK
@5:1;0.19
@5:1;0.18
@5:1;0.22
@5:1;0.16
@5:1;0.27
@5:1;0.20
@5:1;0.28
@5:1;0.18
#2:-9.00;:ac;;
@5:1;0.20
@2:0;OK
@5:1;0.27
@5:1;0.12
@5:1;0.31
@5:1;0.13
@5:1;0.25
@5:1;0.17
@5:1;0.20
@5:1;0.27
#1:0.35;:95;;
@5:1;0.19
@1:0;OK#2:-9.00;:ac;;

@2:0;OK
@5:1;0.20
@5:1;0.18
@5:1;0.26
@5:1;0.17
@5:1;0.25
@5:1;0.22
@5:1;0.26
@5:1;0.19
@5:1;0.20
#2:-9.00;:ac;;
@2:0;OK
@5:1;0.23
@5:1;0.20
@5:1;0.23
@5:1;0.21
@5:1;0.21
@5:1;0.18
@5:1;0.21
@5:1;0.24
@5:1;0.14#1:0.35;:95;;

@1:0;OK#2:-9.00;:ac;;

@2:0;OK
@5:1;0.33
@5:1;0.18
@5:1;0.19
@5:1;0.23
@5:1;0.18
@5:1;0.24
@5:1;0.14
@5:1;0.22
@5:1;0.23
#2:-9.00;:ac;;
@2:0;OK
@5:1;0.19
@5:1;0.22
@5:1;0.20
@5:1;0.20
@5:1;0.25
@5:1;0.18
@5:1;0.20
@5:1;0.25
@5:1;0.19
#1:0.35;:95;;
@5:1;0.25
@1:0;OK
#2:-14.00;:78;;
@2:0;OK
@5:1;0.20
@5:1;0.22
@5:1;0.20
@5:1;0.19
@5:1;0.25
@5:1;0.14
@5:1;0.25
@5:1;0.18
@5:1;0.24
#2:-14.00;:78;;
@2:0;OK
@5:1;0.17
@5:1;0.22
@5:1;0.20
@5:1;0.20
@5:1;0.16
@5:1;0.20
@5:1;0.27
@5:1;0.11
@5:1;0.34
#1:0.35;:95;;
@1:0;OK
#2:-12.00;:33;;
@2:0;OK
@5:1;0.15
@5:1;0.28
@5:1;0.19
@5:1;0.23
@5:1;0.21
@5:1;0.22
@5:1;0.22
@5:1;0.21
@5:1;0.21
@5:1;0.22
#2:-12.00;:33;;
@2:0;OK
@5:1;0.18
@5:1;0.26
@5:1;0.23
@5:1;0.17
@5:1;0.28
@5:1;0.17
@5:1;0.16
@5:1;0.25
@5:1;0.20
#1:0.35;:95;;
@1:0;OK
#2:-11.00;:95;;
@2:0;OK
@5:1;0.27
@5:1;0.14
@5:1;0.26
@5:1;0.20
@5:1;0.18
@5:1;0.21
@5:1;0.18
@5:1;0.22
@5:1;0.13
#2:-11.00;:95;;
@2:0;OK
@5:1;0.28
@5:1;0.08
@5:1;0.39
@5:1;0.08
@5:1;0.25
@5:1;0.19
@5:1;0.20
@5:1;0.28
@5:1;0.14
#1:0.35;:95;;
@1:0;OK
@5:1;0.34
#2:-11.00;:95;;
@2:0;OK
@5:1;0.14
@5:1;0.26
@5:1;0.20
@5:1;0.21
@5:1;0.23
@5:1;0.23
@5:1;0.19
@5:1;0.18
#2:-11.00;:95;;
@5:1;0.20
@2:0;OK
@5:1;0.21
@5:1;0.16
@5:1;0.24
@5:1;0.22
@5:1;0.16
@5:1;0.28
@5:1;0.13
@5:1;0.28
@#1:0.35;:95;;
5:1;0.15
@1:0;OK
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.22
@5:1;0.18
@5:1;0.19
@5:1;0.20
@5:1;0.23
@5:1;0.16
@5:1;0.31
@5:1;0.12
@5:1;0.25
#2:-10.00;:f7;;
@2:0;OK
@5:1;0.19
@5:1;0.21
@5:1;0.24
@5:1;0.14
@5:1;0.31
@5:1;0.13
@5:1;0.26
@5:1;0.23
@5:1;0.18
#1:0.35;:95;;
@1:0;OK
#2:-15.00;:1a;;
@5:1;0.23
@2:0;OK
@5:1;0.20
@5:1;0.24
@5:1;0.19
@5:1;0.19
@5:1;0.22
@5:1;0.20
@5:1;0.21
@5:1;0.22
#2:-15.00;:1a;;
@5:1;0.22
@2:0;OK
@5:1;0.17
@5:1;0.22
@5:1;0.14
@5:1;0.32
@5:1;0.09
@5:1;0.23
@5:1;0.18
@5:1;0.26
#1:0.35;:95;;
@5:1;0.16
@1:0;OK
#2:-15.00;:1a;;
@2:0;OK
@5:1;0.19
@5:1;0.24
@5:1;0.17
@5:1;0.26
@5:1;0.15
@5:1;0.33
@5:1;0.14
@5:1;0.22
@5:1;0.22
#2:-15.00;:1a;;
@2:0;OK
@5:1;0.17
@5:1;0.24
@5:1;0.11
@5:1;0.33
@5:1;0.12
@5:1;0.29
@5:1;0.14
@5:1;0.26
@5:1;0.13
#1:0.35;:95;;
@1:0;OK
@5:1;0.24
#2:-15.00;:1a;;
@2:0;OK
@5:1;0.21
@5:1;0.20
@5:1;0.22
@5:1;0.22
@5:1;0.25
@5:1;0.19
@5:1;0.21
@5:1;0.22
@5:1;0.#2:-15.00;:1a;;
18
@2:0;OK
@5:1;0.21
@5:1;0.20
@5:1;0.21
@5:1;0.14
@5:1;0.25
@5:1;0.14
@5:1;0.25
@5:1;0.09
@5:1;0.38
@1#1:0.35;:95;;
:0;OK#2:-14.00;:78;;

@5:1;0.09
@2:0;OK
@5:1;0.34
@5:1;0.13
@5:1;0.17
@5:1;0.16
@5:1;0.26
@5:1;0.19
@5:1;0.20
@5:1;0.21
@5:1;0.17
@5:1;0.27
#2:-14.00;:78;;
@2:0;OK
@5:1;0.13
@5:1;0.28
@5:1;0.16
@5:1;0.24
@5:1;0.17
@5:1;0.21
@5:1;0.18
@5:1;0.25
@5:1;0.1#1:0.35;:95;;
3
@1:0;OK
@5#2:-12.00;:33;;
:1;0.34
@2:0;OK
@5:1;0.10
@5:1;0.28
@5:1;0.22
@5:1;0.17
@5:1;0.26
@5:1;0.13
@5:1;0.28
@5:1;0.14
@5:1;0.25
#2:-12.00;:33;;
@2:0;OK
@5:1;0.14
@5:1;0.29
@5:1;0.14
@5:1;0.23
@5:1;0.24
@5:1;0.12
@5:1;0.33
@5:1;0.14
@5:1;0.33
#1:0.35;:95;;
@1:0;OK
@5:1;0#2:-11.00;:95;;
.18
@2:0;OK
@5:1;0.22
@5:1;0.20
@5:1;0.23
@5:1;0.19
@5:1;0.25
@5:1;0.19
@5:1;0.21
@5:1;0.21
#2:-11.00;:95;;
@2:0;OK
@5:1;0.18
@5:1;0.21
@5:1;0.19
@5:1;0.26
@5:1;0.18
@5:1;0.20
@5:1;0.19
@5:1;0.22
@5:1;0.19
#1:0.35;:95;;
@1:0;OK
#2:-9.00;:ac;;
@5:1;0.22
@2:0;OK
@5:1;0.21
@5:1;0.18
@5:1;0.19
@5:1;0.22
@5:1;0.25
@5:1;0.09
@5:1;0.35
@5:1;0.09
#2:-9.00;:ac;;
@5:1;0.27
@2:0;OK
@5:1;0.12
@5:1;0.20
@5:1;0.30
@5:1;0.14
@5:1;0.26
@5:1;0.19
@5:1;0.23
@5:1;0.22
#1:0.35;:95;;
@1:0;OK#2:-8.00;:ce;;

@5:1;0.22
@2:0;OK
@5:1;0.24
@5:1;0.21
@5:1;0.21
@5:1;0.18
@5:1;0.30
@5:1;0.12
@5:1;0.32
@5:1;0.17
@#2:-8.00;:ce;;
5:1;0.20
@2:0;OK
@5:1;0.21
@5:1;0.20
@5:1;0.26
@5:1;0.13
@5:1;0.24
@5:1;0.12
@5:1;0.32
@5:1;0.15
@5:#1:0.35;:95;;
1;0.24
@1:0;OK#2:-7.00;:fe;;

@2:0;OK
@5:1;0.24
@5:1;0.18
@5:1;0.24
@5:1;0.15
@5:1;0.28
@5:1;0.18
@5:1;0.19
@5:1;0.22
@5:1;0.18
#2:-7.00;:fe;;
@2:0;OK
@5:1;0.26
@5:1;0.18
@5:1;0.27
@5:1;0.18
@5:1;0.23
@5:1;0.21
@5:1;0.18
@5:1;0.23
@5:1;0.21
#1:0.35;:95;;
@1:0;OK
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.28
@5:1;0.13
@5:1;0.26
@5:1;0.21
@5:1;0.18
@5:1;0.21
@5:1;0.19
@5:1;0.21
@5:1;0.18
#2:-6.00;:9c;;
@2:0;OK
@5:1;0.22
@5:1;0.18
@5:1;0.26
@5:1;0.12
@5:1;0.25
@5:1;0.20
@5:1;0.22
@5:1;0.21
@5:1;0.24
#1:0.35;:95;;
@1:0;OK
@5:1;0.2#2:-6.00;:9c;;
7
@2:0;OK
@5:1;0.16
@5:1;0.22
@5:1;0.20
@5:1;0.17
@5:1;0.25
@5:1;0.18
@5:1;0.25
@5:1;0.17
#2:-6.00;:9c;;
@5:1;0.20
@2:0;OK
@5:1;0.23
@5:1;0.15
@5:1;0.24
@5:1;0.14
@5:1;0.28
@5:1;0.11
@5:1;0.29
@5:1;0.24
#1:0.35;:95;;
@1:0;OK#2:-5.00;:3a;;

@5:1;0.16
@2:0;OK
@5:1;0.21
@5:1;0.16
@5:1;0.27
@5:1;0.18
@5:1;0.22
@5:1;0.26
@5:1;0.16
@5:1;0.25
@5:1;0#2:-5.00;:3a;;
.18
@2:0;OK
@5:1;0.24
@5:1;0.19
@5:1;0.22
@5:1;0.26
@5:1;0.21
@5:1;0.18
@5:1;0.19
@5:1;0.30
@5:1;0.12
#1:0.35;:95;;
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.34
@5:1;0.17
@5:1;0.20
@5:1;0.21
@5:1;0.18
@5:1;0.24
@5:1;0.08
@5:1;0.31
@5:1;0.11
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.24
@5:1;0.13
@5:1;0.24
@5:1;0.12
@5:1;0.32
@5:1;0.15
@5:1;0.22
@5:1;0.25
@5:1;0.19
#1:0.35;:95;;
@1:0;OK#2:-6.00;:9c;;

@2:0;OK
@5:1;0.22
@5:1;0.20
@5:1;0.22
@5:1;0.18
@5:1;0.22
@5:1;0.17
@5:1;0.29
@5:1;0.12
@5:1;0.30
#2:-6.00;:9c;;
@5:1;0.18
@2:0;OK
@5:1;0.21
@5:1;0.23
@5:1;0.13
@5:1;0.28
@5:1;0.15
@5:1;0.25
@5:1;0.18
@5:1;0.23
#1:0.35;:95;;
@5:1;0.17
@1:0;OK
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.22
@5:1;0.24
@5:1;0.22
@5:1;0.17
@5:1;0.22
@5:1;0.26
@5:1;0.12
@5:1;0.29
@5:1;0.21
#2:-5.00;:3a;;
@2:0;OK
@5:1;0.21
@5:1;0.22
@5:1;0.18
@5:1;0.28
@5:1;0.15
@5:1;0.25
@5:1;0.20
@5:1;0.18
@5:1;0.23
#1:0.35;:95;;
@1:0;OK#2:-7.00;:fe;;

@5:1;0.20
@2:0;OK
@5:1;0.22
@5:1;0.18
@5:1;0.23
@5:1;0.22
@5:1;0.21
@5:1;0.18
@5:1;0.19
@5:1;0.22
#2:-7.00;:fe;;
@5:1;0.18
@2:0;OK
@5:1;0.22
@5:1;0.16
@5:1;0.30
@5:1;0.18
@5:1;0.21
@5:1;0.22
@5:1;0.18
@5:1;0.24
#1:0.35;:95;;
@1:0;OK
@5:1;0.20
#2:-7.00;:fe;;
@2:0;OK
@5:1;0.25
@5:1;0.18
@5:1;0.21
@5:1;0.22
@5:1;0.20
@5:1;0.20
@5:1;0.17
@5:1;0.29
@5:1;0.14
#2:-7.00;:fe;;
@2:0;OK
